candidato,tweet
bolsonaro,"…, intensificar o acompanhamento remoto de pacientes, facilitar triagens para evitar superlotação desnecessária e o oferecimento de opções de atendimento de saúde virtual possa aumentar o acesso das populações aos serviços de saúde.

Detalhes no Telegram: “Jair M. Bolsonaro 1”"
bolsonaro,"- A telemedicina aparece como alternativa para permitir o acesso de mais pacientes ao sistema de saúde (seja público ou privado).

- Alcançar territórios mais distantes, otimizar a utilização de mão-de-obra especializada, evitar desperdício de recursos,…"
bolsonaro,"- Em dezembro de 2022 sancionamos o Projeto de Lei que regulamenta a prática de telessaúde em todo território nacional.

- Medida possibilitará intensificar o acompanhamento remoto de pacientes e ampliar o acesso ao atendimento médico."
bolsonaro,"- Além disso, a nova tarifa reflete a redução do serviço da dívida da usina e do Custo Unitário dos Serviços de Eletricidade (Cuse). Em 2019, a dívida de Itaipu era de US$ 2,07 bilhões. Em 2023, cairá para US$ 277,3 milhões."
bolsonaro,"- As reduções representam uma redução de mais de R$ 9 bilhões na conta paga pelos consumidores da energia gerada pela usina e destacam o compromisso da atual gestão em garantir aos consumidores brasileiros energia limpa, segura e barata."
bolsonaro,"- O valor representa redução de 38,9% em relação a 2022 (US$ 20,75/kW) e de 43,9% em comparação com o valor de 2019 (US$ 22,60/kW), pago pelos consumidores desde 2009."
bolsonaro,"- O GOVERNO JAIR BOLSONARO ANUNCIA REDUÇÃO DE 38,9% NA TARIFA DE ITAIPU PARA 2023; No final de 2022, O Ministério de Minas e Energia anunciou a tarifa de Itaipu para 2023: US$ 12,67/kW."
bolsonaro,"4.1- ÁGUA NO NORDESTE: Desde 2019, Governo Federal investiu mais de R$ 4,7 bilhões para ampliar oferta de água no Nordeste.

4.2- Nos últimos 4 anos, MDR concluiu o Eixo Norte da Transposição do São Francisco, levando as águas do Velho Chico, pela 1a vez, ao CE e ao RN."
bolsonaro,"2.2- PPI: capitalização da Eletrobras, concessões de aeroportos e reforçou apoio a estados e municípios.

3.1- Governo Federal investiu mais de R$ 540 bi para o enfrentamento da pandemia no País.

3.2- Ministério da Saúde aplicou mais de R$ 38 bilhões para aquisição de vacinas."
bolsonaro,"1.1- NOVO CAGED: Brasil tem novo recorde histórico de empregos formais no pais: 43,1 milhões.

2.1- BALANÇO 2022: Secretaria Especial do PPI concluiu 48 projetos em 2022 e assegurou R$ 101 bilhões em novos investimentos."
bolsonaro,- Atualizações do dia realizadas no Telegram. Seja bem-vindo: https://t.co/O8KTejUGuL https://t.co/iOSMqhIIyW
bolsonaro,https://t.co/DctBI66JzX
bolsonaro,https://t.co/f32guvie4O
bolsonaro,"- O Papa Bento, ao contrário, fundamentou  todos os seus escritos e ensinamentos na Verdade que liberta (João, 8,32).

- Que seu exemplo e sua obra magistral de grande teólogo e Pastor possam educar e iluminar a todos nós."""
bolsonaro,"- Orientou sua missão pelo lema: “Cooperadores da Verdade”. Foi um servidor dedicado da Verdade.

- Em defesa da verdade do Evangelho, criticou sem medo os erros da chamada “teologia da libertação”, que pretende confundir o Cristianismo com conceitos equivocados do marxismo."
bolsonaro,"Papa Bento XVI

- Recebi, com grande pesar, a notícia do falecimento do Papa (emérito) Bento XVI.

- Embora seu pontificado tenha sido curto, deixa um legado imenso para a Igreja católica, para todos os cristãos e para a humanidade."
bolsonaro,"Hoje, os números de títulos de propriedade ultrapassam os 420 mil, possibilitando historicamente ao pequeno agricultor a entrada na logística de renda na produção da agricultura familiar. https://t.co/hiT7FIQ849"
bolsonaro,"- Com pesar o passamento de um homem, que pelo futebol, levou o nome do Brasil para o mundo. Transformou o futebol em arte e alegria.

- Que Deus conforte sua família e que o acolha na sua infinita misericórdia. https://t.co/AVlw5IDUHX"
bolsonaro,"- Menos impostos, maior capacidade de arrecadação e retorno para o povo! https://t.co/jSNJaTswvt"
bolsonaro,https://t.co/6Sl7zcrDJS
bolsonaro,TRANSPOSIÇÃO DO RIO SÃO FRANCISCO / PERNAMBUCO: bombeamento do Eixo Norte funcionando a todo VAPOR. https://t.co/hQUgLohPGG
bolsonaro,"- Por fim, mesmo com a redução do ICMS a arrecadação bate recorde histórico no país."
bolsonaro,"- Vitória esta conseguida mesmo com o voto contrário de parlamentares do PT, bem como a reprovação da redução de impostos por lula.

- Frisamos que também zeramos o imposto de produtos da cesta básica assim como permanentemente o imposto federal do gás de cozinha."
bolsonaro,"- graças a fixação nacional do ICMS cobrado nos estados sob o valor dos combustíveis, telefonia móvel, internet e energia elétrica o valor do litro dos combustíveis ao consumidor vem caindo e consequentemente toda a linha de logística até chegar na redução do preço dos alimentos."
bolsonaro,"- PREÇO DA GASOLINA CAI NO BRASIL PELA QUINTA SEMANA CONSECUTIVA:

- A Agência Nacional do Petróleo, Gás Natural e Biocombustíveis anunciou a 5a redução seguida no preço da gasolina.

- O relatório da agência é divulgado semanalmente e, desta vez, a queda foi de 0,20% nas bombas."
bolsonaro,https://t.co/iXIAPBwDR2
bolsonaro,https://t.co/iw6eyXrckU
bolsonaro,"- Atualizações todos os dias:

. Telegram: https://t.co/O8KTejVekj

. GETTR: https://t.co/rVeSExbqLt

. TikTok: https://t.co/puETgBS9JK

. LinkedIn: https://t.co/p9UTSBiAlf

. Kwai: https://t.co/B8vhSvEIyq

. Aplicativo: https://t.co/Yoz54TDssJ"
bolsonaro,- Faça download de nosso APP e obtenha atualizações de informações em tempo real: https://t.co/Yoz54TDssJ https://t.co/76MupfgLxf
bolsonaro,https://t.co/ULImAkKUTp
bolsonaro,- Informações do dia atualizadas no Telegram: https://t.co/O8KTejUGuL https://t.co/GlOZ02HFwi
bolsonaro,"- Parabéns por seu aniversário! Um forte abraço, Garoto! @CarlosBolsonaro https://t.co/M8kyczGRIw"
bolsonaro,- Siga-nos no LinkedIn. Informações atualizadas todos os dias. https://t.co/nE1MWKmptw https://t.co/HO8oX41XlZ
bolsonaro,https://t.co/SVApB0y6LY
bolsonaro,- Siga nosso perfil no GETTR com informações atualizadas todos os dias: https://t.co/rVeSExaSVV https://t.co/deqyZOeI43
bolsonaro,https://t.co/ZVHcrw02ht
bolsonaro,- Informações atualizadas todos os dias em nosso Telegram: https://t.co/O8KTejUGuL https://t.co/F5M6VmftI3
bolsonaro,https://t.co/XKbC4GfZrH
bolsonaro,https://t.co/QDGQ0wG8Gq
bolsonaro,"- Publicações atualizadas diariamente:

. Telegram: https://t.co/O8KTejVekj

. GETTR: https://t.co/rVeSExbqLt

. TikTok: https://t.co/M8PHjmjpsx

. LinkedIn: https://t.co/YWCAJ3SaKt

. Kwai: https://t.co/8WnOYbu2Xy

. Aplicativo: https://t.co/Yoz54TDssJ"
bolsonaro,https://t.co/VdQSYTSqyx
bolsonaro,- Presidente Jair Bolsonaro pede a manifestantes que desobstruam as rodovias: https://t.co/ztRXh3IQWu
bolsonaro,"""Vistam toda a armadura de Deus, para poderem ficar firmes contra as ciladas do Diabo, pois a nossa luta não é contra humanos, mas contra os poderes e autoridades, contra os dominadores deste mundo de trevas..."" Efésios 6:11-12

- QUE DEUS ABENCOE O NOSSO AMADO BRASIL! 🇧🇷 https://t.co/T2A6iqgFgB"
bolsonaro,"- Meu obrigado a Donald Trump pelo apoio! Sinto orgulho por ver que nosso trabalho por um Brasil mais seguro e mais livre é respeitado no mundo todo e que, hoje, contamos com o apoio de nações democráticas e não de ditaduras socialistas como no passado. Que a liberdade prevaleça! https://t.co/EnI0VYEk7x"
bolsonaro,https://t.co/6KIE9BM2GI
bolsonaro,- BRASIL ACIMA DE TUDO; DEUS ACIMA DE TODOS! 🇧🇷
bolsonaro,- Existe muito mais além. Reconstruir um país continental e que foi abandonado por décadas demanda tempo e muito esforço. Mas hoje posso garantir que somos capazes de alcançar os nossos  objetivos e finalmente transformar o Brasil na nação que sempre sonhamos. Até a vitória!
bolsonaro,"22. Não ampliar o número de ministros do Supremo Tribunal Federal; indicar ministros comprometidos com a Proteção da Vida desde a concepção e a Liberdade; e respeitar a independência entre os poderes e a Constituição Federal, a nossa Carta da Democracia."
bolsonaro,"21. Não controlar nem interferir na imprensa e preservar a liberdade de expressão, inclusive na Internet."
bolsonaro,"20. Implementar o Programa Educação para o Futuro, que pretende, com base no sucesso que tivemos com os cursos de alfabetização, disponibilizar para a população também o ensino de Programação, Inglês e Educação Financeira, essenciais para o crescimento profissional."
bolsonaro,"19. Implementar o FIES/TEC, para financiar cursos técnicos e profissionalizantes, permitindo aos brasileiros uma inserção maior no mercado de trabalho e um retorno financeiro mais rápido ao estudante."
bolsonaro,"18. Fazer do Nordeste o centro mundial de geração de energia verde e converter os royalties em benefícios sociais para a população, como o Auxílio Brasil."
bolsonaro,"17. Corrigir Tabela do IRPF; com isenção para quem ganha até cinco salários mínimos; e implementar o IRPF familiar, que permite um imposto de renda menor para quem realizar a declaração em família."
bolsonaro,16. Promover a desoneração da folha de pagamento para profissionais de saúde e buscar a desoneração gradual para os demais profissionais.
bolsonaro,"15. Criar e implementar o SUS Online: Modernização dos serviços de saúde pública, com agendamento, pré-triagem e prontuário digital, visando reduzir e zerar as filas nos hospitais (Zap da Saúde)."
bolsonaro,"14. Manter uma política econômica pautada no livre mercado e na responsabilidade fiscal, propiciando um ambiente favorável à atração de investimentos e à geração de pelo menos mais 6 milhões de empregos."
bolsonaro,"13. Seguir indicando de forma independente nomes técnicos e de Ficha Limpa para Ministérios, bancos públicos e estatais, impedindo que interesses escusos façam florescer a corrupção sistêmica no Governo."
bolsonaro,"11. Democratizar os serviços digitais, por meio da isenção de impostos para compra de aparelhos celulares populares e do estabelecimento de uma tarifa social para planos de dados.

12. Aumentar o salário mínimo para 1400 reais em 2023 e acima da inflação todos os anos até 2026."
bolsonaro,"9. Garantir o bônus de produtividade de 200 reais adicionais para beneficiários do Auxílio Brasil permanente de no mínimo 600 reais, para estimular o trabalho produtividade e a ascensão dos mais pobres.

10. Entregar no mínimo mais 2 milhões de moradias a famílias de baixa renda."
bolsonaro,"8. Implementar uma Política Nacional de Fortalecimento dos Laços Familiares, um conjunto de medidas e diretrizes que visam incentivar a criação e preservação das famílias, que são a base da sociedade."
bolsonaro,"7. Com as medidas de combate à impunidade apresentadas acima, buscaremos reduzir em mais 20% os homicídios nos próximos 4 anos, chegando a uma queda de 50% do pico de mortes violentas atingido no último ano de governo do PT."
bolsonaro,"5. Garantir retaguarda jurídica e excludente de ilicitude para agentes de segurança, respaldando nossos policiais no combate ao crime.

6. Aumentar o Fundo Nacional de Segurança Pública para garantir a aparelhagem e a modernização das Forças de Segurança."
bolsonaro,"4. Criar o Estatuto de Direitos das Vítimas, em contrapartida à crescente inversão de valores percebida nas últimas décadas, onde o bandido é a vítima e a polícia e os cidadãos são os vilões."
bolsonaro,"1. Reduzir maioridade penal para crimes hediondos, como estupro, homicídio e latrocínio.

2. Acabar com a audiência de custódia, hoje um dos maiores estímulos à impunidade no país.

3. Endurecer penas para crimes violentos e os critérios para progressão de
regime."
bolsonaro,"- A partir de 2023, com um Congresso em sintonia com o Governo, será possível avançar em novas propostas e naquelas boas medidas que foram travadas pelo caminho. Dito isso segue abaixo 22 COMPROMISSOS que farão do Brasil um país mais próspero, mais livre e mais seguro para todos:"
bolsonaro,"- É preciso compreender aqueles que ainda não decidiram e lhes oferecer segurança para que façam a melhor escolha para o futuro da nossa nação. Mais do que promessas vazias e abstratas, o Brasil precisa de um caminho sólido, pautado em ações concretas e, sobretudo, em princípios."
